,Department_Name,State,County,City,Ori,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
91,Mendota Police Department,CA,FRESNO,Mendota,CA0100900,59,4,0,0,1,5,33,0,0,102
92,Orange Cove Police Department,CA,FRESNO,Orange Cove,CA0101000,35,4,0,0,1,3,20,0,0,63
93,Parlier Police Department,CA,FRESNO,Parlier,CA0101100,52,5,0,0,0,6,63,0,0,126
94,Reedley Police Department,CA,FRESNO,Reedley,CA0101200,87,10,0,0,1,8,92,0,0,198
95,Sanger Police Department,CA,FRESNO,Sanger,CA0101300,77,6,0,0,0,13,93,0,0,189
96,Selma Police Department,CA,FRESNO,Selma,CA0101500,63,7,0,0,2,14,104,0,0,190
105,Orland Police Department,CA,GLENN,Orland,CA0110100,12,1,0,0,0,1,29,0,0,43
109,Arcata Police Department,CA,HUMBOLDT,Arcata,CA0120100,47,6,0,1,0,9,68,0,0,131
110,Eureka Police Department,CA,HUMBOLDT,Eureka,CA0120300,158,32,0,4,1,30,162,0,0,387
111,Ferndale Police Department,CA,HUMBOLDT,Ferndale,CA0120400,1,0,0,0,0,0,3,0,0,4
112,Fortuna Police Department,CA,HUMBOLDT,Fortuna,CA0120500,32,1,0,0,0,4,41,0,0,78
113,Rio Dell Police Department,CA,HUMBOLDT,Rio Dell,CA0120700,15,1,0,0,0,0,16,0,0,32
119,Brawley Police Department,CA,IMPERIAL,Brawley,CA0130100,62,9,0,2,1,0,108,0,0,182
120,Calexico Police Department,CA,IMPERIAL,Calexico,CA0130200,44,6,0,0,6,8,76,0,0,140
121,Calipatria Police Department,CA,IMPERIAL,Calipatria,CA0130300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
122,El Centro Police Department,CA,IMPERIAL,El Centro,CA0130400,81,8,0,1,1,20,168,0,0,279
123,Holtville Police Department,CA,IMPERIAL,Holtville,CA0130500,0,1,0,0,0,1,3,0,0,5
124,Imperial Police Department,CA,IMPERIAL,Imperial,CA0130600,10,2,0,0,0,0,15,0,0,27
125,Westmorland Police Department,CA,IMPERIAL,Westmorland,CA0130700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
129,Bishop Police Department,CA,INYO,Bishop,CA0140100,25,2,0,0,0,3,26,0,0,56
133,Arvin Police Department,CA,KERN,Arvin,CA0150100,74,5,0,0,0,2,39,0,0,120
134,Bakersfield Police Department,CA,KERN,Bakersfield,CA0150200,901,91,4,38,36,240,1516,0,0,2826
135,Delano Police Department,CA,KERN,Delano,CA0150300,77,15,1,3,1,11,140,0,0,248
136,McFarland Police Department,CA,KERN,McFarland,CA0150500,42,2,0,1,0,4,50,0,0,99
137,Ridgecrest Police Department,CA,KERN,Ridgecrest,CA0150600,120,6,0,3,2,4,129,0,0,264
138,Shafter Police Department,CA,KERN,Shafter,CA0150700,65,3,0,0,0,4,78,0,0,150
139,Taft Police Department,CA,KERN,Taft,CA0150800,24,5,0,0,0,3,48,0,0,80
140,Tehachapi Police Department,CA,KERN,Tehachapi,CA0150900,62,2,0,2,3,8,38,0,0,115
141,California City Police Department,CA,KERN,California City,CA0151100,51,5,2,0,3,7,40,0,0,108
142,Stallion Springs Police Department,CA,KERN,Stallion Springs,CA0151400,2,0,0,0,0,0,3,0,0,5
143,Bear Valley Police Department,CA,KERN,Bear Valley,CA0151500,7,0,0,0,0,0,6,0,0,13
149,Corcoran Police Department,CA,KINGS,Corcoran,CA0160100,52,6,0,0,5,1,32,0,0,96
150,Hanford Police Department,CA,KINGS,Hanford,CA0160200,133,31,1,4,4,15,202,0,0,390
151,Lemoore Police Department,CA,KINGS,Lemoore,CA0160300,118,19,0,2,2,4,71,0,0,216
154,Avenal Police Department,CA,KINGS,Avenal,CA016070X,85,15,0,0,3,3,33,0,0,139
157,Lakeport Police Department,CA,LAKE,Lakeport,CA0170100,25,4,0,0,0,3,28,0,0,60
158,Clearlake Police Department,CA,LAKE,Clearlake,CA0170200,117,11,0,1,2,19,111,0,0,261
161,Susanville Police Department,CA,LASSEN,Susanville,CA0180100,38,3,0,0,0,0,34,0,0,75
165,Alhambra Police Department,CA,LOS ANGELES,Alhambra,CA0190100,122,12,0,3,1,26,111,0,0,275
166,Arcadia Police Department,CA,LOS ANGELES,Arcadia,CA0190200,67,2,0,1,1,12,44,0,0,127
167,Artesia Police Department,CA,LOS ANGELES,Artesia,CA0190300,19,5,0,4,1,8,23,0,0,60
168,Avalon Police Department,CA,LOS ANGELES,Avalon,CA0190400,11,2,0,0,1,1,22,0,0,37
169,Azusa Police Department,CA,LOS ANGELES,Azusa,CA0190500,98,9,0,2,11,14,85,0,0,219
170,Baldwin Park Police Department,CA,LOS ANGELES,Baldwin Park,CA0190600,101,12,1,0,3,18,85,0,0,220
171,Bell Police Department,CA,LOS ANGELES,Bell,CA0190700,79,9,0,0,1,14,96,0,0,199
172,Bellflower Police Department,CA,LOS ANGELES,Bellflower,CA0190800,211,14,0,1,6,28,108,0,0,368
173,Bell Gardens Police Department,CA,LOS ANGELES,Bell Gardens,CA0190900,69,11,0,0,1,23,71,0,0,175
175,La Habra Heights Police Department,CA,LOS ANGELES,La Habra Heights,CA0190D0X,5,0,0,0,0,0,0,0,0,5
179,Westlake Village Police Department,CA,LOS ANGELES,Westlake Village,CA0190X0X,4,2,0,0,0,1,5,0,0,12
180,Beverly Hills Police Department,CA,LOS ANGELES,Beverly Hills,CA0191000,69,21,1,0,1,45,122,0,0,259
181,Bradbury Police Department,CA,LOS ANGELES,Bradbury,CA0191100,1,0,0,0,0,0,1,0,0,2
182,Burbank Police Department,CA,LOS ANGELES,Burbank,CA0191200,173,23,0,3,2,27,240,0,0,468
183,Claremont Police Department,CA,LOS ANGELES,Claremont,CA0191300,65,8,0,0,3,13,82,0,0,171
184,Commerce Police Department,CA,LOS ANGELES,Commerce,CA0191400,42,6,0,0,1,13,24,0,0,86
185,Compton Police Department,CA,LOS ANGELES,Compton,CA0191500,296,23,0,5,11,121,114,0,0,570
186,Covina Police Department,CA,LOS ANGELES,Covina,CA0191600,96,12,0,1,4,29,176,0,0,318
187,Cudahy Police Department,CA,LOS ANGELES,Cudahy,CA0191700,33,6,0,1,1,6,17,0,0,64
188,Culver City Police Department,CA,LOS ANGELES,Culver City,CA0191800,78,14,0,0,0,83,91,0,0,266
189,Cerritos Police Department,CA,LOS ANGELES,Cerritos,CA0191900,44,5,0,2,3,24,46,0,0,124
190,Agoura Hills Police Department,CA,LOS ANGELES,Agoura Hills,CA0191F00,8,0,0,0,2,1,12,0,0,23
191,West Hollywood Police Department,CA,LOS ANGELES,West Hollywood,CA0191H0X,133,17,0,0,3,48,172,0,0,373
193,Santa Clarita Police Department,CA,LOS ANGELES,Santa Clarita,CA0191R0X,309,28,1,2,11,41,217,0,0,609
194,Diamond Bar Police Department,CA,LOS ANGELES,Diamond Bar,CA0191W0X,45,4,0,0,1,4,18,0,0,72
195,Downey Police Department,CA,LOS ANGELES,Downey,CA0192000,190,26,0,5,9,65,140,0,0,435
196,Duarte Police Department,CA,LOS ANGELES,Duarte,CA0192100,26,2,0,0,0,5,21,0,0,54
197,El Monte Police Department,CA,LOS ANGELES,El Monte,CA0192200,345,33,0,5,12,69,213,0,0,677
198,El Segundo Police Department,CA,LOS ANGELES,El Segundo,CA0192300,31,1,0,0,0,12,25,0,0,69
199,Gardena Police Department,CA,LOS ANGELES,Gardena,CA0192400,121,12,0,4,3,41,96,0,0,277
200,Glendale Police Department,CA,LOS ANGELES,Glendale,CA0192500,250,45,0,10,9,71,469,0,0,854
201,Glendora Police Department,CA,LOS ANGELES,Glendora,CA0192600,84,11,0,0,6,22,113,0,0,236
202,Hawaiian Gardens Police Department,CA,LOS ANGELES,Hawaiian Gardens,CA0192700,37,4,0,0,0,9,23,0,0,73
203,Hawthorne Police Department,CA,LOS ANGELES,Hawthorne,CA0192800,206,9,1,2,6,71,242,0,0,537
204,Hermosa Beach Police Department,CA,LOS ANGELES,Hermosa Beach,CA0192900,15,4,1,0,0,5,32,0,0,57
205,Calabasas Police Department,CA,LOS ANGELES,Calabasas,CA0192H0X,13,4,0,0,2,3,20,0,0,42
206,Malibu Police Department,CA,LOS ANGELES,Malibu,CA0192J0X,25,4,0,1,0,8,14,0,0,52
208,Hidden Hills Police Department,CA,LOS ANGELES,Hidden Hills,CA0193000,0,0,0,0,0,0,0,0,0,0
209,Huntington Park Police Department,CA,LOS ANGELES,Huntington Park,CA0193100,184,25,0,2,6,73,143,0,0,433
210,Industry Police Department,CA,LOS ANGELES,Industry,CA0193200,22,4,0,0,0,18,20,0,0,64
