,Department_Name,State,County,Ori,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
586,Los Altos Police Department,CA,SANTA CLARA,CA0430500,16,1,1,0,1,2,10,0,0,31
587,Los Altos Hills Police Department,CA,SANTA CLARA,CA0430600,1,0,0,0,0,0,0,0,0,1
588,Los Gatos Police Department,CA,SANTA CLARA,CA0430700,32,5,0,0,1,5,43,0,0,86
589,Milpitas Police Department,CA,SANTA CLARA,CA0430800,114,18,0,1,4,22,147,0,0,306
590,Monte Sereno Police Department,CA,SANTA CLARA,CA0430900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
591,Morgan Hill Police Department,CA,SANTA CLARA,CA0431000,57,12,0,0,5,6,135,0,0,215
592,Mountain View Police Department,CA,SANTA CLARA,CA0431100,110,26,1,0,10,22,130,0,0,299
593,Palo Alto Police Department,CA,SANTA CLARA,CA0431200,51,15,0,1,3,12,83,0,0,165
594,San Jose Police Department,CA,SANTA CLARA,CA0431300,2024,241,7,41,76,434,1299,0,0,4122
595,Santa Clara Police Department,CA,SANTA CLARA,CA0431400,187,39,0,1,11,29,239,0,0,506
596,Saratoga Police Department,CA,SANTA CLARA,CA0431500,7,0,0,0,0,1,7,0,0,15
597,Sunnyvale Police Department,CA,SANTA CLARA,CA0431600,199,32,1,0,10,40,190,0,0,472
598,California State University: San Jose,CA,SANTA CLARA,CA0431700,8,16,0,0,0,3,36,0,0,63
599,San Jose/Evergreen Community College,CA,SANTA CLARA,CA0432000,0,1,0,0,0,0,2,0,0,3
600,West Valley-Mission College,CA,SANTA CLARA,CA043210X,1,0,0,0,0,0,0,0,0,1
601,Foothill-De Anza College,CA,SANTA CLARA,CA0432700,1,0,0,0,0,0,6,0,0,7
602,Union Pacific Railroad: Santa Clara County,CA,SANTA CLARA,CA0433600,0,0,0,0,0,0,0,0,0,0
603,Santa Clara Transit District,CA,SANTA CLARA,CA043950X,26,8,0,0,1,11,65,0,0,111
604,Highway Patrol: Santa Clara County,CA,SANTA CLARA,CA0439900,13,2,2,1,1,1,48,0,0,68
605,Santa Cruz County Sheriff's Office,CA,SANTA CRUZ,CA0440000,310,34,0,6,13,18,373,0,0,754
606,Capitola Police Department,CA,SANTA CRUZ,CA0440100,22,8,0,0,1,1,33,0,0,65
607,Santa Cruz Police Department,CA,SANTA CRUZ,CA0440200,174,19,0,2,3,32,345,0,0,575
608,Watsonville Police Department,CA,SANTA CRUZ,CA0440300,127,16,0,0,3,18,208,0,0,372
609,Scotts Valley Police Department,CA,SANTA CRUZ,CA0440400,7,2,0,0,0,0,31,0,0,40
610,Union Pacific Railroad: Santa Cruz County,CA,SANTA CRUZ,CA044060X,0,0,0,0,0,0,0,0,0,0
611,Department of Parks and Recreation: Santa Cruz Mountains,CA,SANTA CRUZ,CA0440800,2,0,0,0,0,0,15,0,0,17
612,University of California: Santa Cruz,CA,SANTA CRUZ,CA0449700,2,0,0,0,0,0,8,0,0,10
613,Highway Patrol: Santa Cruz County,CA,SANTA CRUZ,CA0449900,3,3,2,0,0,0,5,0,0,13
614,Shasta County Sheriff's Office,CA,SHASTA,CA0450000,0,0,0,0,0,1,18,0,0,19
615,Anderson Police Department,CA,SHASTA,CA0450100,35,2,0,1,3,6,49,0,0,96
616,Redding Police Department,CA,SHASTA,CA0450200,431,41,0,5,8,72,373,0,0,930
617,Union Pacific Railroad: Shasta County,CA,SHASTA,CA045030X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
618,Shasta County Marshal,CA,SHASTA,CA0459100,2,0,0,0,0,0,3,0,0,5
619,Highway Patrol: Shasta County,CA,SHASTA,CA0459900,4,0,3,1,0,0,8,0,0,16
620,Sierra County Sheriff's Office,CA,SIERRA,CA0460000,12,3,0,0,0,0,5,0,0,20
621,Union Pacific Railroad: Sierra County,CA,SIERRA,CA046020X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
622,Highway Patrol: Sierra County,CA,SIERRA,CA0469900,0,0,1,0,0,0,0,0,0,1
623,Siskiyou County Sheriff's Office,CA,SISKIYOU,CA0470000,94,6,0,2,2,4,65,0,0,173
624,Dorris Police Department,CA,SISKIYOU,CA0470100,0,0,0,0,0,0,1,0,0,1
625,Dunsmuir Police Department,CA,SISKIYOU,CA0470200,0,0,0,0,0,0,1,0,0,1
626,Etna Police Department,CA,SISKIYOU,CA0470300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
627,Fort Jones Police Department,CA,SISKIYOU,CA0470400,1,0,0,0,0,0,1,0,0,2
628,Montague Police Department,CA,SISKIYOU,CA0470500,0,0,0,0,0,0,1,0,0,1
629,Mount Shasta Police Department,CA,SISKIYOU,CA0470600,9,1,0,1,0,0,16,0,0,27
630,Tulelake Police Department,CA,SISKIYOU,CA0470700,0,0,0,0,0,0,0,0,0,0
631,Weed Police Department,CA,SISKIYOU,CA0470800,9,1,0,0,2,1,25,0,0,38
632,Yreka Police Department,CA,SISKIYOU,CA0470900,27,2,0,0,0,1,52,0,0,82
