,Department_Name,State,County,Ori,Agg_Assult,Sex_Offences,Manslaughter_Neg,Murder_and_Nonneg_Man,Rape,Robbery,Simp_Assult,Humman_Trafficking_Commercial_SA,Humman_Trafficking_Invol_Ser,Offences_Total
633,Lake Shastina Police Department,CA,SISKIYOU,CA0471000,4,0,0,0,0,0,2,0,0,6
634,Union Pacific Railroad: Siskiyou County,CA,SISKIYOU,CA0471600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
635,Highway Patrol: Siskiyou County,CA,SISKIYOU,CA0479900,3,1,0,0,0,0,4,0,0,8
636,Solano County Sheriff's Office,CA,SOLANO,CA0480000,70,6,0,0,2,6,63,0,0,147
637,Benicia Police Department,CA,SOLANO,CA0480100,21,5,0,0,0,5,73,0,0,104
638,Dixon Police Department,CA,SOLANO,CA0480200,36,4,0,0,2,4,29,0,0,75
639,Fairfield Police Department,CA,SOLANO,CA0480300,373,30,1,4,4,74,516,0,0,1002
640,Rio Vista Police Department,CA,SOLANO,CA0480400,19,0,0,0,0,3,18,0,0,40
641,Suisun City Police Department,CA,SOLANO,CA0480500,67,6,0,0,1,6,70,0,0,150
642,Vacaville Police Department,CA,SOLANO,CA0480600,200,26,0,3,2,60,227,0,0,518
643,Vallejo Police Department,CA,SOLANO,CA0480700,229,21,1,7,5,52,245,0,0,560
644,Union Pacific Railroad: Solano County,CA,SOLANO,CA048080X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
645,Highway Patrol: Solano County,CA,SOLANO,CA0489900,8,0,1,0,0,2,22,0,0,33
646,Sonoma County Sheriff's Office,CA,SONOMA,CA0490000,346,28,0,0,11,28,307,0,0,720
647,Cloverdale Police Department,CA,SONOMA,CA0490100,22,2,0,0,0,0,14,0,0,38
648,Cotati Police Department,CA,SONOMA,CA0490200,19,0,0,1,0,1,39,0,0,60
649,Healdsburg Police Department,CA,SONOMA,CA0490300,15,4,0,3,0,2,29,0,0,53
650,Rohnert Park Police Department,CA,SONOMA,CA0490400,173,11,0,0,5,13,160,0,0,362
651,Santa Rosa Police Department,CA,SONOMA,CA0490500,561,58,2,3,14,69,455,0,0,1162
652,Sebastopol Police Department,CA,SONOMA,CA0490600,21,4,0,0,2,4,49,0,0,80
653,Sonoma Police Department,CA,SONOMA,CA0490700,26,5,0,0,0,1,38,0,0,70
654,Petaluma Police Department,CA,SONOMA,CA0490800,105,11,0,0,3,13,134,0,0,266
655,Sonoma State University,CA,SONOMA,CA0490900,0,0,0,0,0,0,5,0,0,5
656,Union Pacific Railroad: Sonoma County,CA,SONOMA,CA049100X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
657,Department of Parks and Recreation: Silverado,CA,SONOMA,CA0491100,0,0,0,0,0,0,0,0,0,0
658,Department of Parks and Recreation: Russian River,CA,SONOMA,CA0491200,1,0,0,0,0,1,4,0,0,6
659,Santa Rosa Junior College,CA,SONOMA,CA0491400,0,1,0,0,0,0,4,0,0,5
660,Windsor Police Department,CA,SONOMA,CA049150X,41,5,0,0,2,3,61,0,0,112
661,Highway Patrol: Sonoma County,CA,SONOMA,CA0499900,5,3,1,2,0,0,13,0,0,24
662,Stanislaus County Sheriff's Office,CA,STANISLAUS,CA0500000,479,32,0,11,8,42,337,0,0,909
663,Ceres Police Department,CA,STANISLAUS,CA0500100,140,13,0,2,2,26,117,0,0,300
664,Modesto Police Department,CA,STANISLAUS,CA0500200,848,60,1,15,22,137,788,0,0,1871
665,Newman Police Department,CA,STANISLAUS,CA0500300,24,3,0,0,0,3,19,0,0,49
666,Oakdale Police Department,CA,STANISLAUS,CA0500400,64,4,0,1,0,4,77,0,0,150
667,Patterson Police Department,CA,STANISLAUS,CA0500500,80,15,0,0,2,7,72,0,0,176
668,Riverbank Police Department,CA,STANISLAUS,CA0500600,63,3,2,1,2,4,47,0,0,122
669,Turlock Police Department,CA,STANISLAUS,CA0500700,222,29,0,2,11,46,256,0,0,566
670,Waterford Police Department,CA,STANISLAUS,CA0500800,30,1,0,1,2,5,23,0,0,62
671,Hughson Police Department,CA,STANISLAUS,CA0500900,17,1,0,0,1,2,12,0,0,33
672,California State University: Stanislaus,CA,STANISLAUS,CA0501000,0,0,0,0,0,0,4,0,0,4
673,Union Pacific Railroad: Stanislaus County,CA,STANISLAUS,CA050120X,0,0,0,0,0,0,0,0,0,0
674,Highway Patrol: Stanislaus County,CA,STANISLAUS,CA0509900,11,1,5,0,0,4,17,0,0,38
675,Sutter County Sheriff's Office,CA,SUTTER,CA0510000,98,9,0,2,2,18,71,0,0,200
676,Yuba City Police Department,CA,SUTTER,CA0510200,250,16,0,2,6,25,232,0,0,531
677,Union Pacific Railroad: Sutter County,CA,SUTTER,CA051040X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
678,Highway Patrol: Sutter County,CA,SUTTER,CA0519900,0,1,1,0,0,0,1,0,0,3
679,Tehama County Sheriff's Office,CA,TEHAMA,CA0520000,68,4,0,1,0,4,65,0,0,142
680,Corning Police Department,CA,TEHAMA,CA0520100,12,5,0,0,0,4,46,0,0,67
681,Red Bluff Police Department,CA,TEHAMA,CA0520200,82,19,0,1,0,6,148,0,0,256
682,Union Pacific Railroad: Tehama County,CA,TEHAMA,CA052040X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
683,Highway Patrol: Tehama County,CA,TEHAMA,CA0529900,1,0,0,1,0,0,4,0,0,6
684,Trinity County Sheriff's Office,CA,TRINITY,CA0530000,21,4,1,3,0,1,22,0,0,52
685,Union Pacific Railroad: Trinity County,CA,TRINITY,CA053010X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
686,Highway Patrol: Trinity County,CA,TRINITY,CA0539900,3,0,1,0,0,0,2,0,0,6
687,Tulare County Sheriff's Office,CA,TULARE,CA0540000,591,59,3,15,16,31,463,0,0,1178
688,Dinuba Police Department,CA,TULARE,CA0540100,103,12,0,1,2,17,126,0,0,261
689,Exeter Police Department,CA,TULARE,CA0540200,53,5,0,0,1,1,32,0,0,92
690,Farmersville Police Department,CA,TULARE,CA0540300,45,1,0,0,1,3,26,0,0,76
691,Lindsay Police Department,CA,TULARE,CA0540400,29,4,0,0,1,12,40,0,0,86
692,Porterville Police Department,CA,TULARE,CA0540500,300,32,0,4,8,26,229,0,0,599
693,Tulare Police Department,CA,TULARE,CA0540600,292,20,0,13,9,40,351,0,0,725
694,Visalia Police Department,CA,TULARE,CA0540700,441,27,0,5,13,56,335,0,0,877
695,Woodlake Police Department,CA,TULARE,CA0540800,45,5,0,0,2,5,24,0,0,81
696,Union Pacific Railroad: Tulare County,CA,TULARE,CA054100X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
697,College of the Sequoias,CA,TULARE,CA0541100,1,1,0,0,0,0,1,0,0,3
698,Highway Patrol: Tulare County,CA,TULARE,CA0549900,9,0,4,1,0,0,13,0,0,27
699,Tuolumne County Sheriff's Office,CA,TUOLUMNE,CA0550000,131,15,0,3,5,1,144,0,0,299
700,Sonora Police Department,CA,TUOLUMNE,CA0550100,39,3,0,0,0,4,58,0,0,104
701,Highway Patrol: Tuolumne County,CA,TUOLUMNE,CA0559900,4,0,2,0,0,0,7,0,0,13
702,Ventura County Sheriff's Office,CA,VENTURA,CA0560000,313,33,0,4,7,36,318,0,0,711
703,Camarillo Police Department,CA,VENTURA,CA0560100,115,11,0,0,0,12,179,0,0,317
704,Fillmore Police Department,CA,VENTURA,CA0560200,64,8,1,0,0,5,80,0,0,158
705,Ojai Police Department,CA,VENTURA,CA0560300,26,0,0,0,2,0,29,0,0,57
706,Oxnard Police Department,CA,VENTURA,CA0560400,417,52,0,12,3,82,708,0,0,1274
707,Port Hueneme Police Department,CA,VENTURA,CA0560500,24,9,0,0,1,4,60,0,0,98
708,Santa Paula Police Department,CA,VENTURA,CA0560600,80,4,1,3,0,10,141,0,0,239
709,Thousand Oaks Police Department,CA,VENTURA,CA0560700,187,20,1,0,3,18,194,0,0,423
710,Ventura Police Department,CA,VENTURA,CA0560800,338,40,0,1,9,58,473,0,0,919
711,Simi Valley Police Department,CA,VENTURA,CA0560900,112,16,0,1,2,26,190,0,0,347
712,Department of Parks and Recreation: Angeles,CA,VENTURA,CA0561300,1,1,0,0,0,0,0,0,0,2
713,Moorpark Police Department,CA,VENTURA,CA056140X,58,3,0,0,0,6,59,0,0,126
714,Department of Parks and Recreation: Channel Coast,CA,VENTURA,CA0561500,3,5,0,1,0,0,15,0,0,24
715,Department of Parks and Recreation: Hungry Valley,CA,VENTURA,CA0561700,2,0,0,0,0,0,1,0,0,3
716,Union Pacific Railroad: Ventura County,CA,VENTURA,CA0562100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
717,California State University: Channel Islands,CA,VENTURA,CA0562200,0,0,0,0,0,0,4,0,0,4
718,Ventura County Community College District,CA,VENTURA,CA056800X,1,0,0,0,0,0,3,0,0,4
719,Highway Patrol: Ventura County,CA,VENTURA,CA0569900,7,0,3,0,0,0,16,0,0,26
720,Yolo County Sheriff's Office,CA,YOLO,CA0570000,67,8,2,0,3,8,56,0,0,144
721,Davis Police Department,CA,YOLO,CA0570100,56,5,0,0,0,12,32,0,0,105
722,Winters Police Department,CA,YOLO,CA0570200,18,0,0,0,1,0,14,0,0,33
723,Woodland Police Department,CA,YOLO,CA0570300,139,15,1,1,4,16,160,0,0,336
724,West Sacramento Police Department,CA,YOLO,CA0570400,173,11,1,1,3,37,132,0,0,358
725,Union Pacific Railroad: Yolo County,CA,YOLO,CA057050X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
726,University of California: Davis,CA,YOLO,CA0579700,0,1,0,0,0,0,8,0,0,9
727,Highway Patrol: Yolo County,CA,YOLO,CA0579900,4,2,1,0,0,0,9,0,0,16
728,Yuba County Sheriff's Office,CA,YUBA,CA0580000,237,20,2,7,5,16,93,0,0,380
729,Marysville Police Department,CA,YUBA,CA0580100,75,6,0,2,3,6,68,0,0,160
730,Wheatland Police Department,CA,YUBA,CA0580200,11,1,0,0,0,0,10,0,0,22
731,Union Pacific Railroad: Yuba County,CA,YUBA,CA058030X,0,0,0,0,0,0,0,0,0,0
732,Highway Patrol: Yuba County,CA,YUBA,CA0589900,1,3,0,0,0,0,4,0,0,8
733,Blue Lake Tribal,CA,,CADI03900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
734,La Jolla Tribal,CA,,CADI0990X,2,0,0,0,0,1,0,0,0,3
735,Tule River Tribal,CA,,CADIT0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
736,Yurok Tribal,CA,,CADIT0200,0,0,0,0,0,0,0,0,0,0
737,Sycuan Tribal,CA,,CADIT0400,17,1,0,0,0,0,10,0,0,28
738,Los Coyotes Tribal,CA,,CADIT0500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
739,Hoopa Valley Tribal,CA,,CADIT0800,6,0,0,0,0,0,0,0,0,6
740,Coyote Valley Tribal,CA,,CADIT0900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
741,Table Mountain Rancheria,CA,,CADIT1100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
742,San Pasqual Band of Mission Indians Tribal,CA,,CADIT1400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
